scenathon_id,pathway,country_id,country,tradeajustment,iteration,submission_id,year,gdp,population,kcal_hist,kcal_targ,kcal_feas,fat_feas,prot_feas,kcal_mder,lnppmatureforest,lnppmatureotherland,patarget,agroecosh,protectedareasforest,protectedareasothernat,protectedareasother,oecmareas,calcbioscore,histcropland,histharvarea,histpasture,histurban,histforest,histotherland,calccropland,calcpasture,calcforest,calcnewforest,calcotherland,newotherland,calcurban,totalland,forestchange,newforestchange,netforestchange,histcropallco2e,histcropco2,histcropn2o,histcropch4,calccropallco2e,calccropn2o,calccropch4_ch4,calccropch4,calccropco2,histliveallco2e,histliven2o,histlivech4,calcliveallco2e,calclivech4_ch4,calclivech4,calcliven2o,calcallagrico2e,calcdeforco2,calcotherlucco2,calcsequestco2,calcsequestco3,calcalllandco2e,ghgbiofuels,histwfblue,calcwfblue,calcsequestaband,calcsequestaffor,calcfarmlabourfte,calcn_org,calcn_synth,histn_org,histn_synth,totalp,histp,lnppnewforest,lnppnewotherland,kcal_pou,pathway_id
16,CurrentTrends,1,ARG,No,4,495,2000,395.646,37.070774,2872.559752,2872.559752,2856.257841,106.1482929,91.89249049,1811.839671,80046.323,253.376,,0.489222692,13741.006,182.989,6819.262,0,71.12667561,28640,25051.643,99870,0,33378,111781,28640,101472.2133,33378,0,109734.3052,0,444.4815452,273669,0,0,0,18.2323187,8.550519,8.2277013,1.4540984,18.07218095,8.116840585,5.35E-02,1.454016163,8.501324203,103.5024765,22.4409549,81.0615216,99.59374558,2.884911936,78.46960465,21.12414092,117.6659263,0,0,0,,0,-2.24E-07,0,2516.001669,0,0,148.6039351,158.1527206,472.804125,159.0679064,498.223,186.6458995,333.8,238.4,5334.981687,3017.769239,1
16,CurrentTrends,1,ARG,No,4,495,2005,435.297,39.070501,2731.6537,2731.6537,2714.690365,97.39674171,83.70238064,1821.783403,80046.323,253.376,,0.527527872,13741.006,182.989,6819.262,0,71.12667561,34791.6,28209.273,95129.3,0,31796,111952.1,34791.6,96724.55603,31821.0881,148,107343,2337.161378,503.594458,273669,-1556.911904,148,-1408.911904,26.98051638,14.7852297,10.9618782,1.23340848,26.81386187,11.04941067,4.53E-02,1.233014746,14.53143646,120.4185563,26.1500421,94.26851424,116.5906071,3.379949545,91.93462761,24.65597949,143.4044687,118.2762848,74.82308678,-10.52723021,,182.5721414,-2.63E-07,0,2299.982821,-9.343838956,-1.183391253,166.3417361,146.8133576,675.1640056,149.3774701,640.406,278.1716202,513.245,238.4,5334.981687,2868.606938,1
16,CurrentTrends,1,ARG,No,4,495,2010,552.738,41.100123,2729.333937,2729.333937,2717.532154,93.24597678,91.14399065,1829.435694,80046.323,253.376,,0.552689437,13741.006,182.989,6819.262,0,71.12667561,39003.1,30028.678,87264.8,0,30214,117187.1,39003.1,88757.13467,31101.59645,298,107269.8728,6668.727109,570.5689715,273669,-719.4916445,150,-569.4916445,24.90931696,11.2182021,12.0295539,1.66156096,23.26680895,10.68818177,6.11E-02,1.661051308,10.91757587,104.5578059,22.8655245,81.69228144,100.5416622,2.909226113,79.13095028,21.41071188,120.8128162,54.66663886,43.18141434,-29.04396795,,68.80408525,-2.995654922,12229.997,2898.304371,-26.66119367,-2.382774279,159.1128064,162.2486349,552.2896541,166.7163112,771.245,213.2664566,683.667,238.4,5334.981687,2875.866969,1
16,CurrentTrends,1,ARG,No,4,495,2015,594.749,43.257065,2877.880119,2877.880119,2870.297177,107.5802527,98.68828318,1832.990392,80135.682,252.569,,0.539161908,14301.064,182.488,7182.996,0,71.12667561,41339.1,35360.945,79400.3,0,29097,123832.6,41339.1,80813.80047,30800.64598,300,107265.1483,12503.85459,646.4506233,273669,-300.9504742,2,-298.9504742,27.2958235,12.7572059,12.7460424,1.7925752,26.87081101,12.91066558,6.59E-02,1.791598359,12.16854707,108.9213965,23.8325178,85.08887872,105.9398787,3.061820639,83.28152138,22.65835732,129.8150348,22.87564493,25.63954838,-52.38846925,,-3.873275943,-2.995654922,12229.997,3549.797923,-49.9897032,-2.398766053,183.1172176,187.6137804,724.3593922,196.6896796,603.48131,298.4276405,424.76128,240,10003.08367,3031.06054,1
16,CurrentTrends,1,ARG,No,4,495,2020,514.63,45.036032,2972.556997,2972.556997,2961.163536,120.6181935,105.2829631,1841.667445,80526.146,247.522,,0.515704969,14683.949,179.201,7145.555,0,71.12667561,43076.7597,37523.767,74681,0,28573,127338.2403,43076.7597,75506.83557,30616.67635,300,107260.8497,16175.45471,732.424,273669,-183.9696236,0,-183.9696236,29.83891524,10.74322,17.6649018,1.43079344,28.12065085,16.3279941,5.26E-02,1.430100774,10.36255598,114.7574227,25.1920305,89.56539216,111.3239971,3.218529118,87.54399201,23.78000508,136.448993,13.99168862,20.02674767,-67.06731878,,-33.04888249,-2.995654922,12229.997,4060.600539,-64.66855273,-2.398766053,177.0415364,178.3768885,1241.959805,184.9294865,1400.38143,506.7293018,868.63509,240,12940.36377,3116.593275,1
16,CurrentTrends,1,ARG,No,4,495,2025,598.4148575,46.33752,0,2972.556997,2958.64634,120.5421255,105.1802842,1854.922126,80098.09362,207.5638743,,0.544269184,14683.949,179.201,7145.555,0,71.12667561,0,0,0,0,0,0,43683.08008,78847.23959,30188.62397,300,103509.658,16175.45471,972.7236382,273676.78,-428.0523805,0,-428.0523805,0,0,0,0,29.88168122,16.64348382,5.65E-02,1.535742489,11.70245492,0,0,0,120.6903358,3.490381596,94.9383794,25.75195645,147.5763621,28.99944481,39.98851069,-54.90537169,,14.0825838,-2.995654922,0,4423.552478,-52.50660564,-2.398766053,190.6259745,201.4612852,1138.124907,0,0,462.6832372,0,240,12940.36377,3113.848317,1
16,CurrentTrends,1,ARG,No,4,495,2030,679.8784739,47.67856,0,2972.556997,2959.183581,120.5842607,105.2199836,1862.386157,79476.65362,197.6426799,,0.552310141,14683.949,179.201,7145.555,0,71.12667561,0,0,0,0,0,0,49901.3937,77548.65786,29567.18398,300,98562.07524,16824.74557,972.7236382,273676.78,-621.4399972,0,-621.4399972,20.22389418,0,17.8631817,2.36071248,33.90016067,18.92664604,5.48E-02,1.490729095,13.48278553,138.6144155,30.1740621,108.4403534,123.1250429,3.56165356,96.87697683,26.2480661,154.0295487,47.20515702,106.6882641,-57.50119984,,96.39222131,-2.995654922,0,5265.51081,-55.10243379,-2.398766053,203.4080145,232.1154668,1246.008904,0,0,471.9381161,0,240,13459.79646,3111.871706,1
16,CurrentTrends,1,ARG,No,4,495,2035,760.6346579,48.912958,0,2972.556997,2959.168342,120.5832062,105.2186183,1863.952683,78858.48402,188.0907044,,0.558538606,14683.949,179.201,7145.555,0,71.12667561,0,0,0,0,0,0,56086.98275,75940.73413,28949.01438,300,93798.61765,17628.70744,972.7236382,273676.78,-618.1696005,0,-618.1696005,0,0,0,0,37.89731978,21.1963214,5.32E-02,1.44725142,15.25374696,0,0,0,125.0592364,3.618495244,98.42307063,26.63616576,159.9609012,46.95673466,104.8627518,-60.71539389,,91.10409261,-2.995654922,0,6155.479022,-58.31662784,-2.398766053,215.9067717,262.6046799,1352.586304,0,0,480.5141903,0,240,14102.96595,3108.141423,1
16,CurrentTrends,1,ARG,No,4,495,2040,841.0747977,50.014489,0,2972.556997,2959.152492,120.5821099,105.2171967,1861.616284,78244.18195,178.916696,,0.563538342,14683.949,179.201,7145.555,0,71.12667561,0,0,0,0,0,0,62233.8722,74025.4991,28334.7123,300,89223.64779,18586.32495,972.7236382,273676.78,-614.3020751,0,-614.3020751,0,0,0,0,41.86805886,23.44988707,5.16E-02,1.404543272,17.01362852,0,0,0,126.437879,3.659311329,99.53326815,26.90461089,165.310283,46.66295386,102.9378552,-64.54389453,,85.05691448,-2.995654922,0,7088.463183,-62.14512848,-2.398766053,228.0750729,292.9013842,1457.629498,0,0,488.2924499,0,240,14869.05996,3103.266447,1
16,CurrentTrends,1,ARG,No,4,495,2045,932.2855903,50.924787,0,2972.556997,2959.136169,120.5809815,105.215731,1860.023575,77634.99507,170.1697735,,0.567682903,14683.949,179.201,7145.555,0,71.12667561,0,0,0,0,0,0,68329.57747,71776.43669,27725.52542,300,84861.66061,19710.85616,972.7236382,273676.78,-609.1868784,0,-609.1868784,0,0,0,0,45.80194991,25.68171588,5.01E-02,1.3613782,18.75885583,0,0,0,127.152235,3.680954447,100.1219609,27.03027408,169.95853,46.27439878,100.6823262,-69.03970666,,77.91701835,-2.995654922,0,8056.657182,-66.6409406,-2.398766053,239.809378,322.9447518,1560.653775,0,0,495.0107607,0,240,15768.68492,3097.275187,1
